Data,Likes,Comentários,Descrição
2021-03-26T23:52:49.000Z,38,2,"Você já ouviu falar em matriz de confusão? 🤯<br><br>Neste post, vamos te explicar de forma simples o que ela é! 🤔<br><br>Ahhh, e se ainda achar confuso, não deixa de comentar sua dúvida que a gente te ajuda a entender! 😜<br><br>.<br>.<br>.<br><br><a class="" xil3i"" href=""/explore/tags/ia/"" tabindex=""0"">#ia</a> <a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/code/"" tabindex=""0"">#code</a> <a class="" xil3i"" href=""/explore/tags/programming/"" tabindex=""0"">#programming</a> <a class="" xil3i"" href=""/explore/tags/programação/"" tabindex=""0"">#programação</a> <a class="" xil3i"" href=""/explore/tags/tecnologia/"" tabindex=""0"">#tecnologia</a>"
2021-03-24T00:03:12.000Z,61,2,"Nós já falamos aqui sobre Aprendizagem Supervisionada (não viu? Volta alguns posts 🧐). Agora, vamos falar sobre os tipos de Aprendizado Supervisionado: regressão e classificação. ⁣<br>⁣<br>🤔 Com qual tipo de aprendizado supervisionado você tem mais experiência?"
2021-03-17T22:49:48.000Z,112,8,"Você sabia que medicina tem tudo a ver com tecnologia e inteligência artificial? Diversas são as aplicações! Confere nossa sequência e compartilha com seus amigos médicos! 🩺👩🏼‍⚕️<br><br>.<br>.<br>.<br><br><a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <a class="" xil3i"" href=""/explore/tags/medicina/"" tabindex=""0"">#medicina</a> <a class="" xil3i"" href=""/explore/tags/ai/"" tabindex=""0"">#ai</a> <a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/programacao/"" tabindex=""0"">#programacao</a> <a class="" xil3i"" href=""/explore/tags/code/"" tabindex=""0"">#code</a> <a class="" xil3i"" href=""/explore/tags/medicine/"" tabindex=""0"">#medicine</a>"
2021-03-15T22:46:41.000Z,61,1,"Você sabe o que é aprendizagem supervisionada? As suas aplicações e como se caracteriza? <br>Dá uma olhada na sequência e confere! 😉<br><br>.<br>.<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/aprendizagemdemaquina/"" tabindex=""0"">#aprendizagemdemaquina</a> <a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <a class="" xil3i"" href=""/explore/tags/code/"" tabindex=""0"">#code</a><br><a class="" xil3i"" href=""/explore/tags/programming/"" tabindex=""0"">#programming</a> <a class="" xil3i"" href=""/explore/tags/ai/"" tabindex=""0"">#ai</a> <a class="" xil3i"" href=""/explore/tags/programacao/"" tabindex=""0"">#programacao</a>"
2021-03-13T18:46:03.000Z,120,4,"Você que não sabe programar ainda ou quer aprender uma nova linguagem de programação, da uma olhada no post!<br><br>Aproveita e marca os amigos interessados 😉😉<br><br>Comenta aí, em qual delas você já programou?<br>.<br><br>.<br><br><a class="" xil3i"" href=""/explore/tags/programação/"" tabindex=""0"">#programação</a> <a class="" xil3i"" href=""/explore/tags/code/"" tabindex=""0"">#code</a> <a class="" xil3i"" href=""/explore/tags/python/"" tabindex=""0"">#python</a> <a class="" xil3i"" href=""/explore/tags/pythonprogramming/"" tabindex=""0"">#pythonprogramming</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/ai/"" tabindex=""0"">#ai</a>"
2021-03-12T00:00:17.000Z,82,11,"Sabia que IA pode te auxiliar nas tuas atividades? Hoje vamos falar sobre as aplicações na área de direito! Marca teu amigo jurista!<br><br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/direito/"" tabindex=""0"">#direito</a> <br><a class="" xil3i"" href=""/explore/tags/programação/"" tabindex=""0"">#programação</a> <a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <br><a class="" xil3i"" href=""/explore/tags/lei/"" tabindex=""0"">#lei</a> <a class="" xil3i"" href=""/explore/tags/lgpd/"" tabindex=""0"">#lgpd</a>"
2021-03-08T14:31:57.000Z,104,13,"Hoje é Dia Internacional da Mulher! Não se trata apenas de um dia para homenageá-las, mas também para refletir sobre suas lutas históricas e diárias. 💪🏻 Sobre o que é esperado da mulher na nossa sociedade e que a escolha em seguir esse padrão ou não é inteiramente dela.⁣<br>⁣<br>💡 Você sabia que, segundo a Forbes, as mulheres representam menos de 25% dos profissionais de Inteligência Artificial?⁣<br>⁣<br>Temos muito orgulho em ter na nossa liga essas 7 mulheres incríveis! Obrigadx por fazerem parte do nosso time! 😉⁣<br>➡️ Deslize para o lado para conhecer um pouquinho de cada uma delas."
2021-03-07T19:00:28.000Z,73,2,"Hoje trouxemos alguns lugares que vocês podem achar datasets para treinar análise de dados, Machine Learning entre outras técnicas e tecnologias!<br><br>Marca os amigos!<br>.<br>.<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/datascience/"" tabindex=""0"">#datascience</a> <a class="" xil3i"" href=""/explore/tags/dataset/"" tabindex=""0"">#dataset</a> <a class="" xil3i"" href=""/explore/tags/dados/"" tabindex=""0"">#dados</a> <a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <a class="" xil3i"" href=""/explore/tags/programação/"" tabindex=""0"">#programação</a> <a class="" xil3i"" href=""/explore/tags/code/"" tabindex=""0"">#code</a>"
2021-03-04T21:13:48.000Z,74,3,"Você sabia que é possível rodar algoritmos em uma GPU de maneira gratuita? <br>.<br><br>O google oferece esse serviço através do colab! Arrasta pro lado e confira como utilizar a ferramenta!<br>.<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <a class="" xil3i"" href=""/explore/tags/ai/"" tabindex=""0"">#ai</a> <a class="" xil3i"" href=""/explore/tags/programacao/"" tabindex=""0"">#programacao</a> <a class="" xil3i"" href=""/explore/tags/code/"" tabindex=""0"">#code</a> <a class="" xil3i"" href=""/explore/tags/gpu/"" tabindex=""0"">#gpu</a>"
2021-03-03T03:10:09.000Z,97,3,"Estamos felizes de anunciar que o processo seletivo está aberto! Para se inscrever basta responder ao formulário disponível no link da bio.<br><br>Fiquem atentos aos próximos posts para saber mais!<br><br>Compartilhe com seus amigos!<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <a class="" xil3i"" href=""/explore/tags/ai/"" tabindex=""0"">#ai</a> <a class="" xil3i"" href=""/explore/tags/programaçao/"" tabindex=""0"">#programaçao</a> <a class="" xil3i"" href=""/explore/tags/python/"" tabindex=""0"">#python</a> <a class="" xil3i"" href=""/explore/tags/code/"" tabindex=""0"">#code</a> <a class="" xil3i"" href=""/explore/tags/coding/"" tabindex=""0"">#coding</a>"
